Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
1,36.78828,-121.919,115.767,9.0352,33.9188,3.87E-01,40.96136,133
1,36.78828,-121.919,116.189,9.0343,33.9187,3.83E-01,41.10964,132
1,36.78829,-121.91902,116.009,9.0342,33.9182,3.79E-01,41.04586,131
1,36.7883,-121.91902,115.958,9.0345,33.9182,3.97E-01,41.028,130
1,36.7883,-121.91904,115.752,9.0343,33.9182,3.83E-01,40.95498,129
1,36.7883,-121.91904,115.886,9.0344,33.9183,3.65E-01,41.00238,128
1,36.7883,-121.91904,115.972,9.0363,33.9183,3.74E-01,41.03448,127
1,36.7883,-121.91904,116.02,9.0358,33.9182,3.94E-01,41.05108,126
1,36.7883,-121.91905,116.136,9.0387,33.9185,3.95E-01,41.09481,125
1,36.7883,-121.91906,116.388,9.0408,33.9183,3.96E-01,41.18608,124
1,36.7883,-121.91906,116.581,9.0434,33.9185,4.01E-01,41.25681,123
1,36.78832,-121.91906,116.811,9.0433,33.9185,3.97E-01,41.33814,122
1,36.78833,-121.91906,117.125,9.0451,33.9184,4.20E-01,41.45081,121
1,36.78834,-121.91905,117.372,9.047,33.9181,4.33E-01,41.53967,120
1,36.78835,-121.91902,117.595,9.0475,33.9179,4.19E-01,41.61921,119
1,36.78835,-121.91903,117.491,9.047,33.9181,4.14E-01,41.58176,118
1,36.78835,-121.91902,117.443,9.0472,33.9179,4.35E-01,41.56511,117
1,36.78836,-121.91901,117.361,9.0474,33.9179,4.22E-01,41.53609,116
1,36.78835,-121.91901,117.464,9.0478,33.9177,4.23E-01,41.57309,115
1,36.78836,-121.919,117.407,9.0475,33.9179,4.21E-01,41.55247,114
1,36.78836,-121.919,117.527,9.0491,33.9176,4.14E-01,41.59636,113
1,36.78836,-121.919,117.718,9.0547,33.9167,4.31E-01,41.66863,112
1,36.78836,-121.91899,118.065,9.0584,33.9168,4.28E-01,41.79497,111
1,36.78836,-121.91898,118.381,9.0654,33.9163,4.39E-01,41.91318,110
1,36.78836,-121.91898,119.226,9.0753,33.9156,4.43E-01,42.2213,109
1,36.78836,-121.91898,119.3,9.0784,33.9151,4.61E-01,42.2502,108
1,36.78836,-121.91897,119.757,9.0755,33.9155,4.49E-01,42.40949,107
1,36.78836,-121.91896,119.791,9.079,33.9151,4.51E-01,42.42468,106
1,36.78836,-121.91896,120.134,9.0807,33.9151,4.47E-01,42.54769,105
1,36.78836,-121.91896,120.17,9.0829,33.9147,4.84E-01,42.5625,104
1,36.78836,-121.91896,120.32,9.0823,33.9147,4.64E-01,42.61499,103
1,36.78836,-121.91896,120.261,9.084,33.9143,4.63E-01,42.59558,102
1,36.78836,-121.91896,120.534,9.0865,33.9138,4.58E-01,42.69454,101
1,36.78836,-121.91896,120.77,9.0902,33.9132,4.65E-01,42.78153,100
1,36.78836,-121.91896,120.651,9.0946,33.9126,4.65E-01,42.74303,99
1,36.78838,-121.91896,120.664,9.102,33.9118,4.82E-01,42.75443,98
1,36.78838,-121.91894,122.083,9.1067,33.9109,5.11E-01,43.26116,97
1,36.78838,-121.91894,121.51,9.1288,33.9084,5.05E-01,43.07858,96
1,36.78838,-121.91894,122.146,9.1412,33.9059,5.11E-01,43.31509,95
1,36.78838,-121.91893,124.777,9.1493,33.9052,5.43E-01,44.25555,94
